code,naam,buurt,totaal,bev_0_9,bev_10_19,bev_20_29,bev_30_39,bev_40_49,bev_50_59,bev_60_69,bev_70_79,bev_80_89,bev_90plus
71016A001,GENK-CENTRUM,Centrum,3908,249,193,450,397,351,435,608,687,458,80
71016A03-,GENK-CENTRUM - NOORD,Centrum,7211,519,572,823,923,776,881,1066,845,598,208
71016A010,MOLENBLOOK,Centrum,896,76,96,82,106,103,121,156,77,67,12
71016B22K,HEIDEBLOOK,Noord,1584,142,157,159,173,180,225,419,106,23,0
71016B22L,HOEVENZAVELLAAN,Noord,323,30,50,59,51,60,42,25,6,0,0
71016B2BA,NIEUW-DRIEHOEVEN,Noord,526,44,57,61,42,50,78,100,65,24,5
71016B242,NIEUWE KEMPEN,Noord,1841,173,198,197,246,260,195,241,271,51,9
71016B23K,OUD-DRIEHOEVEN,Noord,1029,113,124,129,121,143,176,119,70,27,7
71016B27K,WOLFSBERG INDUSTRIE,Noord,6,0,0,6,0,0,0,0,0,0,0
71016A391,ZONHOVERHEIDE,Noord,0,0,0,0,0,0,0,0,0,0,0
71016B29L,ZWARTBERG INDUSTRIE,Noord,47,5,6,8,0,12,11,5,0,0,0
71016B29K,ZWARTBERG PARK,Noord,0,0,0,0,0,0,0,0,0,0,0
71016B29M,ZWARTBERG VLIEGVELD,Noord,0,0,0,0,0,0,0,0,0,0,0
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,Noord,1300,142,186,140,157,166,187,148,117,42,15
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,Noord,622,70,79,61,78,85,64,63,56,48,18
71016B20M,ZWARTBERG-TUINWIJK-ZUID-OOST,Noord,0,0,0,0,0,0,0,0,0,0,0
71016B2AA,ZWARTBERG-ZUID,Noord,1819,168,256,234,186,249,242,265,136,67,16
71016A4OK,BOXBERG,West,3965,456,541,360,490,600,434,456,424,173,31
71016A31K,OUD-WINTERSLAG C-MINE,West,1943,169,225,230,231,277,314,292,142,56,7
71016A432,SCHEMMERSBERG,West,1026,123,116,102,175,136,172,126,58,18,0
71016A300,WINTERSLAG - TUINWIJK I,West,3152,271,364,365,426,415,462,420,237,138,54
71016A42-,WINTERSLAG - TUINWIJK II & IV,West,2628,264,388,368,246,337,354,298,209,141,23
71016A37K,WINTERSLAG TERRIL,West,7,0,0,0,0,0,0,0,7,0,0
71016B191,BODEM - NOORD,Oost,0,0,0,0,0,0,0,0,0,0,0
71016A882,BODEM - ZUID,Oost,0,0,0,0,0,0,0,0,0,0,0
71016B17-,KOLENMIJN ANDRE DUMONT,Oost,0,0,0,0,0,0,0,0,0,0,0
71016B1BK,NOORD WATERSCHEI,Oost,3648,304,475,441,424,495,503,495,328,151,32
71016B11-,OUD-WATERSCHEI,Oost,3977,412,551,507,510,565,511,501,286,120,14
71016B083,STALEN,Oost,5,0,0,0,0,0,0,0,5,0,0
71016B1CK,WATERSCHEI TEXAS,Oost,379,38,66,60,38,51,54,49,15,8,0
71016B1AB,WATERSCHEI-ZUID,Oost,3152,335,413,374,410,438,385,413,256,111,17
71016A490,BOKRIJK-NOORD,/,429,40,61,44,54,64,68,59,30,9,0
71016A600,BOKRIJK-ZUID,/,883,92,85,86,124,95,98,146,91,43,23
71016A04-,BRETHEI,/,3276,340,365,444,418,381,535,435,223,108,27
71016A912,CAETSBEEK,/,625,72,90,76,81,102,95,61,32,16,0
71016A02K,D' IERD-ZONNEWEELDE,/,1118,95,120,112,115,94,109,136,172,107,58
71016A59K,DE MATEN-NATUUR,/,182,15,19,18,28,16,26,30,24,6,0
71016A292,FLETERSDEL,/,527,40,79,63,47,90,76,69,42,21,0
71016A800,GELIEREN - HOOGZIJ,/,717,56,66,68,77,61,125,148,72,37,7
71016A41K,HASSELTWEG KNEIPPWIEK,/,1957,187,223,196,244,266,252,250,194,125,20
71016A579,INDUSTRIE-ZUID,/,86,5,0,7,17,11,22,14,10,0,0
71016A890,KATTEVENNE,/,41,0,0,9,6,0,7,11,8,0,0
71016A775,KLEIN LANGERLO,/,34,5,0,6,5,6,5,7,0,0,0
71016A72K,KOEBAAN-NOORD,/,571,35,75,117,55,82,107,67,33,0,0
71016A20-,KOLDERBOS,/,2596,338,337,315,339,364,317,280,165,118,23
71016A210,LANGERLO,/,557,52,74,94,66,73,80,56,42,20,0
71016A791,MEIBOS,/,75,5,6,8,12,6,12,19,7,0,0
71016A0MA,MELBERG,/,31,6,0,5,7,0,13,0,0,0,0
71016A0PA,MELBERG-NATUUR,/,79,11,7,13,11,9,12,9,7,0,0
71016A734,NIEUW SLEDDERLO,/,1759,197,368,233,156,273,215,161,117,39,0
71016ZZZZ,Niet te lokaliseren in een sector,/,12,0,0,5,7,0,0,0,0,0,0
71016A70K,SLEDDERLO OUD,/,989,141,145,136,159,125,140,90,37,16,0
71016A08K,STIEMER,/,0,0,0,0,0,0,0,0,0,0,0
71016A71-,TERBOEKT,/,477,54,56,50,75,51,59,101,13,18,0
71016A50K,TERMIEN,/,2253,225,310,231,300,304,329,273,179,86,16
71016A512,TERMIEN - KLOOSTER,/,624,52,47,94,72,73,78,115,71,17,5
71016A51-,TERMIEN - TUINWIJK,/,1845,222,227,218,217,231,232,235,179,76,8
71016A02M,VLAKVELD OP STROEP,/,62,10,7,6,19,0,11,9,0,0,0
71016A02L,VLAKVELD TUINWIJK,/,908,96,156,116,80,137,104,138,48,20,13
71016A4AB,WENNEL,/,324,22,17,17,25,29,28,145,41,0,0
